City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aldan,58.6031,125.3894,53.37,98,100,3.27,RU,1627850663
Vestmanna,62.1564,-7.1664,47.32,81,90,8.05,FO,1627850664
Algiers,36.7525,3.042,75.02,78,40,9.22,DZ,1627850413
Robertsport,6.7533,-11.3686,78.21,77,100,12.66,LR,1627850665
Fareydūnshahr,32.941,50.121,67.14,30,96,4.59,IR,1627850665
Grindavik,63.8424,-22.4338,55.56,93,75,6.91,IS,1627850666
Jobabo,20.9692,-76.2994,91.42,64,37,14.56,CU,1627850666
Kawalu,-7.3817,108.2082,70.57,97,89,1.3,ID,1627850667
Ambilobe,-13.2,49.05,68.32,81,6,4.29,MG,1627850667
Hambantota,6.1241,81.1185,79.32,83,100,16.51,LK,1627850667
Okhotsk,59.3833,143.3,60.62,55,0,9.91,RU,1627850668
Vao,-22.6667,167.4833,65.98,61,75,10.92,NC,1627850661
Bukavu,-2.5083,28.8608,63.41,63,70,0.56,CD,1627850668
Rundu,-17.9333,19.7667,58.64,38,0,6.96,NA,1627850654
Necochea,-38.5473,-58.7368,56.03,68,3,6.76,AR,1627850669
Uglovoye,44.8215,33.6045,74.57,69,0,3.22,UA,1627850669
Winona,43.9666,-91.7668,76.68,53,75,6.91,US,1627850670
Tayshet,55.9342,98.0044,54.23,98,100,1.66,RU,1627850670
Plettenberg Bay,-34.0527,23.3716,59.2,75,63,10.69,ZA,1627850671
Luau,-10.7073,22.2247,65.53,32,23,1.1,AO,1627850671
Salalah,17.0151,54.0924,77.09,94,90,4.61,OM,1627850672
Raton,36.9034,-104.4391,66.06,75,90,18.41,US,1627850674
Muleba,-1.8397,31.6544,64.67,56,4,1.95,TZ,1627850674
Atasū,48.6814,71.6433,74.59,43,14,5.01,KZ,1627850675
Lázaro Cárdenas,17.9583,-102.2,87.31,69,11,11.43,MX,1627850675
Laguna,38.421,-121.4238,106.25,34,1,3.44,US,1627850675
Lampa,-33.2833,-70.9,78.08,13,0,14.97,CL,1627850676
Paramonga,-10.6667,-77.8333,67.05,75,12,10.8,PE,1627850676
Tual,-5.6667,132.75,81.37,78,37,12.82,ID,1627850677
Riverton,40.5219,-111.9391,91.31,42,40,3.0,US,1627850677
Honiara,-9.4333,159.95,78.44,82,39,3.38,SB,1627850677
Jiwani,25.05,61.7417,81.79,86,100,13.98,PK,1627850678
Havre-St-Pierre,50.2334,-63.5986,59.36,88,75,12.66,CA,1627850678
Lorengau,-2.0226,147.2712,82.6,76,46,9.73,PG,1627850679
Bjerkvik,68.5597,17.5189,46.2,88,88,3.89,NO,1627850679
Faya,18.3851,42.4509,68.11,68,98,3.58,SA,1627850680
Wattegama,6.7989,81.4808,75.96,82,100,5.23,LK,1627850681
Mwinilunga,-11.7358,24.4293,58.33,51,2,4.97,ZM,1627850687
Sisimiut,66.9395,-53.6735,56.77,57,0,3.78,GL,1627850687
Mayumba,-3.432,10.6554,74.1,84,100,8.08,GA,1627850688
Tezu,27.9167,96.1667,75.25,91,33,3.33,IN,1627850699
Touros,-5.1989,-35.4608,79.7,73,5,19.48,BR,1627850699
Mogadishu,2.0371,45.3438,76.05,85,64,18.99,SO,1627850699
Zhigansk,66.7697,123.3711,62.87,68,57,12.55,RU,1627850700
Moscow,55.7522,37.6156,70.38,83,93,4.23,RU,1627850482
Sandwick,60.0,-1.25,49.82,87,90,8.05,GB,1627850701
Saryozek,44.3583,77.9753,61.7,19,6,3.18,KZ,1627850703
Itoman,26.1247,127.6694,82.78,92,75,18.41,JP,1627850669
Buala,-8.145,159.5921,78.51,86,99,6.64,SB,1627850704
Saldanha,-33.0117,17.9442,48.25,89,62,9.66,ZA,1627850704
Vanavara,60.34,102.2797,53.37,63,43,4.32,RU,1627850704
Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,88,40,6.71,RU,1627850709
Kaa-Khem,51.6833,94.7333,53.67,78,100,3.87,RU,1627850710
Sāveh,35.0213,50.3566,85.84,26,73,9.48,IR,1627850710
Cadolzburg,49.4573,10.8533,61.79,79,0,3.0,DE,1627850711
Kazachinskoye,57.6953,93.2761,56.89,95,99,0.92,RU,1627850712
Gemeente Tiel,51.8833,5.4333,61.05,84,73,6.49,NL,1627850712
Nālūt,30.3333,10.85,94.75,11,3,10.51,LY,1627850713
Colac,-38.3333,143.5833,44.62,91,10,5.17,AU,1627850713
Usinsk,65.9939,57.5281,47.71,95,94,10.47,RU,1627850714
Pindiga,9.9833,10.9333,72.21,87,100,3.91,NG,1627850714
Bahía Blanca,-38.7196,-62.2724,54.82,36,0,7.25,AR,1627850714
Te Anau,-45.4167,167.7167,42.37,92,98,2.17,NZ,1627850715
Tura,25.5198,90.2201,73.62,98,88,3.49,IN,1627850715
Aventura,25.9565,-80.1392,94.01,64,20,1.01,US,1627850716
Padang,-0.9492,100.3543,74.79,92,98,5.79,ID,1627850716
Riyadh,24.6877,46.7219,98.74,10,3,7.02,SA,1627850424
Satānā,20.5833,74.2,74.03,83,100,18.68,IN,1627850717
Thinadhoo,0.5333,72.9333,81.7,72,97,5.12,MV,1627850717
St. George's,12.0564,-61.7485,85.68,79,20,17.27,GD,1627850718
Diamantino,-14.4086,-56.4461,89.1,19,2,4.94,BR,1627850718
Izumo,35.3667,132.7667,78.75,82,100,4.38,JP,1627850718
Bereket,39.2446,55.5154,84.96,12,71,4.76,TM,1627850719
Abū Zabad,12.35,29.25,74.37,75,94,10.04,SD,1627850719
Whitehorse,60.7161,-135.0538,81.1,31,20,5.75,CA,1627850720
Tallahassee,30.4383,-84.2807,94.51,67,75,1.99,US,1627850592
Saryg-Sep,51.5,95.6,49.53,96,100,0.78,RU,1627850721
Mutsu,41.2894,141.2169,73.99,100,75,2.3,JP,1627850721
Abrau-Dyurso,44.69,37.59,72.86,61,0,6.26,RU,1627850722
Rzhanitsa,53.4284,33.923,70.25,91,70,2.75,RU,1627850723
São Sebastião,-23.76,-45.4097,62.85,83,64,7.7,BR,1627850723
Lukovetskiy,64.2956,41.9211,58.98,79,97,3.69,RU,1627850724
Kurumkan,54.3,110.3,54.79,82,4,0.87,RU,1627850724
Port Hardy,50.6996,-127.4199,64.58,77,20,12.66,CA,1627850715
Korla,41.7597,86.1469,76.06,17,100,6.64,CN,1627850730
Vila Velha,-20.3297,-40.2925,72.97,63,0,9.22,BR,1627850732
Kambove,-10.8764,26.5969,59.31,51,35,3.96,CD,1627850732
Abalak,58.1286,68.5944,59.65,97,12,6.13,RU,1627850732
Novobureyskiy,49.798,129.8774,64.96,99,100,5.77,RU,1627850733
Nizhniy Odes,63.6445,54.856,54.27,98,22,4.83,RU,1627850735
Haines Junction,60.7522,-137.5108,75.15,43,27,2.3,CA,1627850656
Yangi Marg`ilon,40.4272,71.7189,81.75,29,100,9.22,UZ,1627850735
Hofn,64.2539,-15.2082,54.09,93,98,3.76,IS,1627850701
Inongo,-1.95,18.2667,70.66,61,74,2.26,CD,1627850736
Kazanka,47.8462,32.8218,75.51,50,3,7.29,UA,1627850736
Berlevåg,70.8578,29.0864,55.2,93,75,5.75,NO,1627850733
Beloha,-25.1667,45.05,67.19,59,0,9.22,MG,1627850629
Karratha,-20.7377,116.8463,60.21,47,0,11.16,AU,1627850745
Bucu,44.6053,27.4934,80.96,57,0,10.8,RO,1627850745
Mogocha,53.7333,119.7667,45.41,97,76,2.68,RU,1627850745
Jacqueville,5.2052,-4.4146,75.11,88,21,8.05,CI,1627850746
Ust'-Karsk,52.7011,118.8077,53.13,92,90,2.33,RU,1627850747
Bendigo,-36.7667,144.2833,37.85,59,0,4.41,AU,1627850527
Meadow Lake,34.8014,-106.5436,85.84,36,72,2.57,US,1627850748
Tilichiki,60.4667,166.1,52.56,63,100,5.84,RU,1627850749
Yatou,37.15,122.3833,72.14,92,0,3.29,CN,1627850749
Sinnamary,5.3833,-52.95,81.12,78,55,7.72,GF,1627850749
Cerrito,6.8432,-72.694,58.39,84,83,3.4,CO,1627850750
Tessalit,20.1986,1.0114,86.86,39,4,14.36,ML,1627850751
Atbasar,51.8,68.3333,71.42,56,1,6.17,KZ,1627850751
Dingle,10.9995,122.6711,77.7,87,100,8.79,PH,1627850752
Bilibino,68.0546,166.4372,41.07,57,73,5.84,RU,1627850752
Umuahia,5.5263,7.4896,73.45,88,97,3.98,NG,1627850753
Tholos,40.9999,23.7823,82.06,42,0,1.34,GR,1627850753
Suda,59.1525,37.5582,60.91,94,11,4.88,RU,1627850754
Heinola,61.2056,26.0381,60.89,96,8,8.14,FI,1627850756
Caravelas,-17.7125,-39.2481,69.24,59,93,9.73,BR,1627850756
Saint-Joseph,-21.3667,55.6167,66.56,72,38,10.2,RE,1627850757
Karlstad,59.3793,13.5036,59.56,94,90,2.3,SE,1627850757
Khani,41.9563,42.9566,62.17,95,92,1.88,GE,1627850757
George,-33.963,22.4617,54.95,82,75,5.75,ZA,1627850527
Tevriz,57.509,72.4042,60.13,99,83,4.79,RU,1627850758
Binga,-17.6203,27.3414,62.69,52,0,0.81,ZW,1627850759
Prince George,53.9166,-122.753,74.64,60,1,5.75,CA,1627850759
Sotnikovo,51.8845,107.4791,53.69,94,100,2.24,RU,1627850759
Redmond,47.674,-122.1215,85.32,58,100,1.92,US,1627850703
Patacamaya,-17.2333,-67.9167,44.13,63,38,14.99,BO,1627850768
Salinas,36.6777,-121.6555,84.0,64,1,14.97,US,1627850769
Mastic Beach,40.7668,-72.8521,77.2,63,40,1.99,US,1627850769
Mangan,27.5167,88.5333,76.17,96,100,0.87,IN,1627850770
Pemba,-12.974,40.5178,75.9,69,20,15.01,MZ,1627850770
Husavik,66.0449,-17.3389,57.11,69,65,3.62,IS,1627850709
Chippewa Falls,44.9369,-91.3929,74.89,53,90,8.05,US,1627850401
Moyale,3.5167,39.0584,69.51,56,91,15.01,KE,1627850771
Inírida,3.8653,-67.9239,77.05,92,51,3.51,CO,1627850771
Hervey Bay,-25.2986,152.8535,65.01,94,3,4.0,AU,1627850772
Xapuri,-10.6517,-68.5044,86.65,21,6,5.84,BR,1627850772
Fershampenuaz,53.5202,59.8117,65.79,63,57,4.99,RU,1627850773
Salinópolis,-0.6136,-47.3561,79.21,81,66,9.64,BR,1627850773
Praia,14.9215,-23.5087,79.34,61,20,9.22,CV,1627850755
Quang Ngai,15.1167,108.8,78.17,80,100,5.06,VN,1627850774
Sonoita,31.85,-112.8333,99.54,27,70,5.61,MX,1627850774
Wagar,16.1525,36.2032,80.78,67,88,15.66,SD,1627850778
Departamento de Maldonado,-34.6667,-54.9167,50.23,89,6,5.08,UY,1627850779
Yebaishou,41.3975,119.6408,62.33,91,8,7.25,CN,1627850779
Forécariah,9.4306,-13.0881,78.66,95,100,3.15,GN,1627850780
Port Lincoln,-34.7333,135.8667,52.88,49,23,24.76,AU,1627850715
Cartagena del Chairá,1.3349,-74.8429,70.56,87,100,2.89,CO,1627850780
Roald,62.5833,6.1333,54.0,71,90,5.75,NO,1627850781
Katangli,51.7102,143.2326,53.85,88,100,8.34,RU,1627850701
Amilly,47.9728,2.7719,62.55,87,61,5.08,FR,1627850781
Saint John,45.2727,-66.0677,77.38,52,40,17.27,CA,1627850739
Paamiut,61.994,-49.6678,47.8,90,100,7.34,GL,1627850782
Barguzin,53.6167,109.6167,55.63,86,8,1.12,RU,1627850782
Pimentel,-6.8367,-79.9342,71.89,79,75,5.99,PE,1627850783
Hashtrūd,37.4779,47.0508,67.95,55,100,4.54,IR,1627850783
Hobyo,5.3505,48.5268,77.7,79,5,23.02,SO,1627850783
Eišiškės,54.1667,25.0,64.18,97,98,6.62,LT,1627850784
Luleå,65.5842,22.1547,55.47,76,0,9.22,SE,1627850784
Valparaíso,-33.0393,-71.6273,84.43,29,0,16.11,CL,1627850529
Caramay,10.1815,119.236,79.07,82,78,4.27,PH,1627850785
Mhango,-3.2833,32.85,67.03,43,5,4.7,TZ,1627850786
